Student_ID,First_Name,Last_Name,DOB,Gender,Grade_Level,Section,Parent_Email,Annual_Tuition,Scholarship_Type,Attendance_Rate,Enrollment_Status
SCH-2026-1059,Travis,Cox,2012-01-27,Female,Grade 9,A,cox.travis@gmail.com,3497.53,Full Scholarship,92.55,Active
SCH-2026-1060,Adam,Graham,2010-11-26,Non-binary,Grade 10,B,graham.adam@gmail.com,7255.45,None,77.13,Active
SCH-2026-1061,Ashley,Coleman,2012-05-09,Male,Grade 7,C,coleman.ashley@gmail.com,8646.64,Partial (25%),90.52,Active
SCH-2026-1062,Jaclyn,Butler,2010-06-30,Male,Grade 10,E,butler.jaclyn@yahoo.com,10260.13,None,88.87,Active
SCH-2026-1063,Brian,Obrien,2017-05-24,Female,Grade 2,A,obrien.brian@yahoo.com,3254.51,None,76.91,Active
SCH-2026-1064,Daniel,Mckinney,2017-11-25,Female,Grade 3,E,mckinney.daniel@yahoo.com,4108.49,Partial (50%),79.85,Active
SCH-2026-1065,Sheri,Taylor,2015-09-01,Female,Grade 4,D,taylor.sheri@gmail.com,11642.01,Partial (25%),86.37,Active
SCH-2026-1066,Gregory,Harris,2023-03-24,Non-binary,Preschool,B,harris.gregory@hotmail.com,6844.36,None,81.97,Active
SCH-2026-1067,Michael,Keller,2017-02-13,Female,Grade 4,A,keller.michael@hotmail.com,9790.81,None,81.03,Active
SCH-2026-1068,Christopher,Ortega,2009-05-22,Non-binary,Grade 10,B,ortega.christopher@hotmail.com,4338.4,None,95.19,Active
SCH-2026-1069,Amy,Murray,2022-03-31,Male,Preschool,E,murray.amy@yahoo.com,6174.59,None,95.07,Active
SCH-2026-1070,Kathleen,Porter,2019-11-13,Female,Grade 1,B,porter.kathleen@gmail.com,5805.12,Partial (25%),78.39,Active
SCH-2026-1071,Elizabeth,Singleton,2020-12-22,Female,Kindergarten,E,singleton.elizabeth@hotmail.com,7656.92,None,78.06,Active
SCH-2026-1072,Susan,Johnson,2008-05-23,Male,Grade 11,A,johnson.susan@gmail.com,4602.46,None,98.66,Active
SCH-2026-1073,Robert,Bates,2009-07-02,Male,Grade 11,D,bates.robert@gmail.com,8969.78,None,81.03,Active
SCH-2026-1074,Thomas,Williams,2018-12-18,Non-binary,Grade 1,B,williams.thomas@hotmail.com,4694.29,None,76.0,Active
SCH-2026-1075,Jennifer,Martinez,2010-04-18,Male,Grade 10,B,martinez.jennifer@hotmail.com,4439.17,Partial (25%),90.53,Active
SCH-2026-1076,Kathy,Fisher,2018-01-19,Non-binary,Grade 2,E,fisher.kathy@yahoo.com,5259.59,None,87.71,Active
SCH-2026-1077,Lisa,Andersen,2015-07-26,Female,Grade 5,A,andersen.lisa@yahoo.com,7405.32,None,97.01,Active
SCH-2026-1078,Vincent,Butler,2017-02-09,Male,Grade 3,E,butler.vincent@hotmail.com,5665.28,None,98.16,Active
SCH-2026-1079,Mark,Jackson,2014-01-24,Non-binary,Grade 7,E,jackson.mark@gmail.com,6775.47,None,84.99,Withdrawn
SCH-2026-1080,Chelsea,Riley,2008-01-11,Male,Grade 12,B,riley.chelsea@gmail.com,3900.9,None,78.68,Active
SCH-2026-1081,Cynthia,Lopez,2012-06-03,Non-binary,Grade 8,E,lopez.cynthia@gmail.com,11390.15,None,92.4,Active
SCH-2026-1082,Mary,Fischer,2022-06-18,Male,Preschool,A,fischer.mary@yahoo.com,8673.1,None,88.6,Active
SCH-2026-1083,Lindsay,Ray,2022-02-18,Non-binary,Preschool,A,ray.lindsay@yahoo.com,5165.76,None,92.96,Active
SCH-2026-1084,Scott,Romero,2010-09-22,Non-binary,Grade 9,B,romero.scott@yahoo.com,10552.42,None,87.91,Active
SCH-2026-1085,Emily,Lozano,2009-09-07,Female,Grade 10,B,lozano.emily@gmail.com,5727.88,None,92.74,Active
SCH-2026-1086,Amanda,Gutierrez,2013-10-08,Female,Grade 6,E,gutierrez.amanda@gmail.com,9818.05,None,90.62,Active
SCH-2026-1087,Jacob,Mack,2015-03-20,Non-binary,Grade 5,C,mack.jacob@yahoo.com,8294.6,None,75.67,Active
SCH-2026-1088,Melinda,Brown,2009-03-16,Female,Grade 11,C,brown.melinda@gmail.com,8053.42,None,79.41,Active
SCH-2026-1089,Amanda,Thomas,2008-07-06,Non-binary,Grade 11,C,thomas.amanda@gmail.com,4719.48,None,98.73,Active
SCH-2026-1090,Andres,Tran,2017-04-20,Male,Grade 3,E,tran.andres@gmail.com,4505.89,None,76.47,Active
SCH-2026-1091,Charles,Murillo,2016-11-30,Male,Grade 3,A,murillo.charles@hotmail.com,11005.76,Partial (25%),99.24,Active
SCH-2026-1092,James,Russell,2010-09-30,Non-binary,Grade 9,E,russell.james@gmail.com,10647.11,None,79.83,Active
SCH-2026-1093,Stephen,Newman,2010-12-08,Non-binary,Grade 10,B,newman.stephen@yahoo.com,4480.5,Full Scholarship,89.99,Active
SCH-2026-1094,Jimmy,Stephens,2015-01-22,Female,Grade 6,C,stephens.jimmy@hotmail.com,8396.77,None,79.96,Active
SCH-2026-1095,Stephanie,Moore,2020-11-26,Male,Preschool,B,moore.stephanie@yahoo.com,4259.66,Partial (25%),99.07,Active
SCH-2026-1096,Raven,Higgins,2018-01-05,Male,Grade 2,A,higgins.raven@yahoo.com,6728.27,Partial (50%),93.76,Active
SCH-2026-1097,Tyler,Moore,2011-05-25,Non-binary,Grade 9,B,moore.tyler@gmail.com,4822.87,None,97.85,Active
SCH-2026-1098,Amanda,Nelson,2013-04-08,Female,Grade 8,B,nelson.amanda@gmail.com,6546.95,None,82.5,Active
SCH-2026-1099,Sierra,Simmons,2013-06-06,Non-binary,Grade 6,E,simmons.sierra@hotmail.com,8226.03,None,92.38,Active
SCH-2026-1100,Maria,Gill,2022-04-21,Male,Preschool,C,gill.maria@hotmail.com,5402.06,None,80.45,Active
SCH-2026-1101,Marcus,Hernandez,2019-04-01,Male,Grade 1,B,hernandez.marcus@yahoo.com,10140.63,None,95.37,Active
SCH-2026-1102,Christopher,Zimmerman,2013-04-08,Female,Grade 7,E,zimmerman.christopher@yahoo.com,5014.17,Partial (25%),98.62,Active
SCH-2026-1103,Mariah,Lane,2014-05-24,Female,Grade 5,D,lane.mariah@gmail.com,7769.62,Partial (25%),87.3,Active
SCH-2026-1104,Brenda,Watson,2017-02-16,Female,Grade 4,B,watson.brenda@gmail.com,4100.14,None,76.28,Active
SCH-2026-1105,James,Woods,2014-01-25,Male,Grade 6,C,woods.james@yahoo.com,8496.9,None,95.11,Active
SCH-2026-1106,Aaron,Baker,2019-09-22,Non-binary,Grade 1,C,baker.aaron@yahoo.com,5065.62,None,76.71,Active
SCH-2026-1107,Jody,Tran,2014-01-19,Non-binary,Grade 6,D,tran.jody@gmail.com,9215.81,Partial (25%),97.59,Active
SCH-2026-1108,Claudia,Torres,2010-02-25,Male,Grade 10,D,torres.claudia@hotmail.com,10448.77,None,80.39,Withdrawn
SCH-2026-1109,Jonathan,Patel,2018-05-02,Male,Grade 1,D,patel.jonathan@hotmail.com,11856.69,None,82.26,Active
SCH-2026-1110,Donald,Lane,2008-08-28,Female,Grade 12,C,lane.donald@hotmail.com,3892.87,Partial (25%),95.41,Active
SCH-2026-1111,Michael,Cortez,2016-03-26,Female,Grade 4,A,cortez.michael@gmail.com,8662.39,None,77.62,Active
SCH-2026-1112,Amanda,Cooper,2010-09-13,Male,Grade 10,D,cooper.amanda@gmail.com,10741.24,Partial (50%),98.34,Active
SCH-2026-1113,Gary,Fry,2013-10-16,Non-binary,Grade 7,E,fry.gary@hotmail.com,6177.7,Partial (50%),88.5,Withdrawn
SCH-2026-1114,Joseph,Braun,2017-07-27,Female,Grade 2,B,braun.joseph@gmail.com,6727.65,None,97.91,Active
SCH-2026-1115,Gary,Odom,2015-06-07,Female,Grade 5,E,odom.gary@gmail.com,3821.32,None,86.88,Active
SCH-2026-1116,James,Jones,2015-04-14,Male,Grade 5,B,jones.james@gmail.com,11672.88,None,76.37,Active
SCH-2026-1117,Ashley,Coleman,2012-01-20,Female,Grade 8,A,coleman.ashley@hotmail.com,6644.14,None,85.36,Active
SCH-2026-1118,April,Williams,2016-04-12,Non-binary,Grade 4,E,williams.april@hotmail.com,5416.78,None,94.92,Active
SCH-2026-1119,Alisha,Jackson,2013-09-03,Non-binary,Grade 6,A,jackson.alisha@gmail.com,9905.22,Partial (25%),91.0,Active
SCH-2026-1120,Sheena,Reeves,2017-05-01,Male,Grade 2,E,reeves.sheena@gmail.com,8712.08,Partial (25%),94.83,Active
SCH-2026-1121,Aaron,Williams,2008-10-28,Male,Grade 12,D,williams.aaron@hotmail.com,6853.21,None,82.97,Active
SCH-2026-1122,Kevin,Beck,2010-12-17,Female,Grade 10,D,beck.kevin@hotmail.com,8652.23,None,89.34,Active
SCH-2026-1123,Steven,Martinez,2014-06-06,Female,Grade 6,B,martinez.steven@gmail.com,6633.87,None,96.67,Active
SCH-2026-1124,Mary,Shannon,2017-01-05,Female,Grade 4,C,shannon.mary@hotmail.com,11545.49,Partial (25%),97.06,Active
SCH-2026-1125,Carol,Taylor,2020-10-30,Non-binary,Kindergarten,C,taylor.carol@hotmail.com,3485.11,None,86.44,Active
SCH-2026-1126,Katie,Lewis,2021-02-28,Female,Kindergarten,E,lewis.katie@gmail.com,5080.81,None,98.46,Active
SCH-2026-1127,April,Dixon,2012-06-04,Non-binary,Grade 7,E,dixon.april@hotmail.com,8783.05,Partial (50%),92.22,Active
SCH-2026-1128,Billy,Grant,2019-11-26,Non-binary,Kindergarten,C,grant.billy@hotmail.com,9580.45,None,78.47,On Leave
SCH-2026-1129,Jennifer,Rios,2019-01-19,Female,Grade 2,C,rios.jennifer@gmail.com,9317.04,None,92.51,Active
SCH-2026-1130,Randy,Avila,2013-10-17,Male,Grade 6,E,avila.randy@gmail.com,6205.25,None,84.47,Active
SCH-2026-1131,Taylor,Adams,2011-10-03,Male,Grade 9,E,adams.taylor@gmail.com,10837.79,None,75.08,Withdrawn
SCH-2026-1132,David,Cantrell,2018-01-07,Male,Grade 2,E,cantrell.david@hotmail.com,3498.13,None,91.3,Active
SCH-2026-1133,Eddie,Garrett,2009-06-19,Female,Grade 10,C,garrett.eddie@yahoo.com,9582.45,None,80.32,On Leave
SCH-2026-1134,Tammy,Watson,2008-11-25,Female,Grade 11,C,watson.tammy@yahoo.com,7667.47,None,80.82,On Leave
SCH-2026-1135,Vickie,Fisher,2009-02-26,Male,Grade 12,A,fisher.vickie@yahoo.com,9863.3,Partial (50%),92.89,Active
SCH-2026-1136,Lisa,Gross,2021-05-04,Non-binary,Preschool,B,gross.lisa@yahoo.com,11338.02,None,88.81,Active
SCH-2026-1137,Bonnie,Lewis,2018-05-05,Male,Grade 2,C,lewis.bonnie@yahoo.com,11417.71,None,85.15,Active
SCH-2026-1138,Sally,Sutton,2018-05-21,Female,Grade 2,C,sutton.sally@hotmail.com,5721.68,Full Scholarship,97.88,Active
SCH-2026-1139,Heather,Coleman,2009-03-05,Female,Grade 12,E,coleman.heather@hotmail.com,5222.72,None,96.51,Active
SCH-2026-1140,April,Potter,2018-06-28,Non-binary,Grade 2,C,potter.april@gmail.com,11222.21,None,94.16,Active
SCH-2026-1141,Samuel,Brown,2012-07-18,Male,Grade 7,B,brown.samuel@yahoo.com,7571.15,None,96.71,On Leave
SCH-2026-1142,Tamara,Smith,2011-03-20,Male,Grade 10,D,smith.tamara@gmail.com,10803.2,None,86.43,Active
SCH-2026-1143,Jocelyn,Thompson,2020-04-21,Non-binary,Grade 1,B,thompson.jocelyn@gmail.com,7477.38,Partial (25%),79.72,Active
SCH-2026-1144,Yvonne,Miller,2013-05-16,Non-binary,Grade 7,E,miller.yvonne@yahoo.com,4610.57,None,76.98,Active
SCH-2026-1145,Patrick,Spence,2016-08-30,Female,Grade 4,A,spence.patrick@gmail.com,6330.7,None,77.41,Active
SCH-2026-1146,Stacey,Thompson,2008-01-13,Male,Grade 12,A,thompson.stacey@gmail.com,7072.7,None,76.65,Active
SCH-2026-1147,Ruth,Powell,2014-06-22,Female,Grade 5,E,powell.ruth@yahoo.com,7000.58,Partial (50%),90.58,Active
SCH-2026-1148,James,Mcintosh,2008-08-31,Male,Grade 12,C,mcintosh.james@yahoo.com,5383.08,None,84.51,Withdrawn
SCH-2026-1149,Eric,Miller,2016-10-10,Non-binary,Grade 3,B,miller.eric@hotmail.com,8877.34,Full Scholarship,84.57,Active
SCH-2026-1150,Joel,Jones,2016-03-14,Female,Grade 4,A,jones.joel@gmail.com,9531.06,Partial (50%),78.29,Active
SCH-2026-1151,Stanley,Moon,2009-02-25,Female,Grade 12,C,moon.stanley@gmail.com,3077.16,None,83.31,Active
SCH-2026-1152,Kelly,Horton,2015-04-06,Non-binary,Grade 6,E,horton.kelly@yahoo.com,8308.11,Partial (25%),90.76,On Leave
SCH-2026-1153,Andrea,Baker,2014-09-25,Non-binary,Grade 5,B,baker.andrea@gmail.com,6164.81,Partial (25%),97.84,Active
SCH-2026-1154,Brandi,Peck,2012-07-22,Female,Grade 8,A,peck.brandi@hotmail.com,5423.42,None,90.39,Active
SCH-2026-1155,Laura,Hernandez,2016-01-29,Non-binary,Grade 4,E,hernandez.laura@hotmail.com,11680.95,None,80.43,Active
SCH-2026-1156,Jason,Miller,2018-03-01,Male,Grade 3,C,miller.jason@yahoo.com,7510.36,Partial (25%),86.89,Active
SCH-2026-1157,Casey,Smith,2009-01-17,Male,Grade 11,B,smith.casey@gmail.com,8849.81,None,75.67,Active
SCH-2026-1158,Adam,Patterson,2013-02-10,Female,Grade 7,A,patterson.adam@yahoo.com,10265.71,None,89.53,Active
SCH-2026-1159,Edwin,Miller,2013-09-02,Female,Grade 6,B,miller.edwin@yahoo.com,5014.08,Partial (50%),78.85,Active
SCH-2026-1160,Brent,Morales,2021-09-23,Non-binary,Preschool,B,morales.brent@yahoo.com,10206.89,None,86.75,Active
SCH-2026-1161,Sarah,Moreno,2008-03-25,Male,Grade 12,A,moreno.sarah@yahoo.com,5787.61,Partial (50%),81.58,On Leave
SCH-2026-1162,Kathryn,Flores,2012-06-24,Non-binary,Grade 8,D,flores.kathryn@yahoo.com,5419.21,None,91.32,Active
SCH-2026-1163,Susan,Smith,2013-07-22,Male,Grade 6,D,smith.susan@hotmail.com,8757.93,None,77.01,Active
SCH-2026-1164,Elizabeth,Thompson,2020-11-08,Female,Kindergarten,E,thompson.elizabeth@yahoo.com,8398.96,Partial (50%),90.9,Active
SCH-2026-1165,Tyler,Nguyen,2017-03-27,Male,Grade 4,D,nguyen.tyler@yahoo.com,6576.22,None,94.89,On Leave
SCH-2026-1166,Monica,Lewis,2019-07-02,Male,Kindergarten,E,lewis.monica@hotmail.com,4626.73,None,99.57,Active
SCH-2026-1167,Olivia,Leach,2011-09-08,Non-binary,Grade 8,C,leach.olivia@yahoo.com,11870.45,None,78.1,Active
SCH-2026-1168,Susan,Montgomery,2018-04-07,Non-binary,Grade 2,C,montgomery.susan@gmail.com,4152.58,Partial (50%),84.79,Active
SCH-2026-1169,Brianna,Stark,2015-12-12,Female,Grade 4,E,stark.brianna@hotmail.com,3194.07,None,85.06,Active
SCH-2026-1170,Felicia,Thompson,2014-08-20,Male,Grade 5,C,thompson.felicia@gmail.com,3661.43,Full Scholarship,91.46,Active
SCH-2026-1171,Joshua,Smith,2022-02-16,Male,Preschool,B,smith.joshua@hotmail.com,5929.88,None,97.49,Active
SCH-2026-1172,Rachel,Gonzalez,2012-08-03,Non-binary,Grade 7,B,gonzalez.rachel@hotmail.com,8848.75,None,80.53,Active
SCH-2026-1173,Carol,Simpson,2015-08-13,Non-binary,Grade 4,C,simpson.carol@gmail.com,5070.07,None,80.06,Active
SCH-2026-1174,Susan,Gonzalez,2020-05-02,Female,Preschool,D,gonzalez.susan@yahoo.com,5256.29,Partial (25%),98.61,Active
SCH-2026-1175,David,Scott,2011-12-11,Male,Grade 8,A,scott.david@hotmail.com,10452.14,None,91.19,Active
SCH-2026-1176,Jose,Davenport,2015-02-21,Non-binary,Grade 6,D,davenport.jose@hotmail.com,11763.77,None,84.83,Active
SCH-2026-1177,Ann,Freeman,2010-09-07,Non-binary,Grade 10,B,freeman.ann@hotmail.com,3567.28,None,76.01,Active
SCH-2026-1178,Cindy,Clark,2021-03-10,Non-binary,Preschool,D,clark.cindy@gmail.com,8110.48,None,79.97,Active
SCH-2026-1179,Joshua,Delacruz,2014-10-29,Male,Grade 5,B,delacruz.joshua@hotmail.com,4608.54,Partial (25%),83.47,Active
SCH-2026-1180,Joseph,Hamilton,2019-05-11,Non-binary,Kindergarten,C,hamilton.joseph@gmail.com,4091.02,None,84.91,Active
SCH-2026-1181,Lisa,Morgan,2011-10-18,Female,Grade 9,C,morgan.lisa@gmail.com,7853.11,None,80.68,Active
SCH-2026-1182,Zachary,Allen,2021-12-27,Female,Preschool,D,allen.zachary@gmail.com,11774.49,None,96.6,Active
SCH-2026-1183,Angela,Frey,2009-10-25,Non-binary,Grade 11,A,frey.angela@yahoo.com,5234.8,None,85.84,Active
SCH-2026-1184,Jamie,Murray,2017-11-25,Non-binary,Grade 2,C,murray.jamie@gmail.com,9791.87,Partial (25%),94.93,Active
SCH-2026-1185,Michelle,Rogers,2020-02-02,Non-binary,Kindergarten,B,rogers.michelle@yahoo.com,5021.76,None,86.06,Active
SCH-2026-1186,Jason,Clark,2014-02-13,Female,Grade 7,A,clark.jason@gmail.com,9713.69,None,92.87,Withdrawn
SCH-2026-1187,Cynthia,Jones,2015-10-10,Non-binary,Grade 5,C,jones.cynthia@gmail.com,6928.84,None,96.3,Active
SCH-2026-1188,Lisa,Fitzpatrick,2015-02-14,Female,Grade 6,C,fitzpatrick.lisa@hotmail.com,7987.43,Partial (50%),84.49,Active
SCH-2026-1189,Jose,Solomon,2011-01-19,Female,Grade 10,D,solomon.jose@yahoo.com,11728.16,None,83.33,Active
SCH-2026-1190,Ryan,Leblanc,2022-08-15,Non-binary,Preschool,E,leblanc.ryan@yahoo.com,8686.11,Partial (50%),99.57,Active
SCH-2026-1191,Kelli,Goodman,2015-02-01,Non-binary,Grade 6,D,goodman.kelli@gmail.com,6428.94,None,92.23,Active
SCH-2026-1192,Arthur,Gonzalez,2016-06-17,Male,Grade 3,C,gonzalez.arthur@gmail.com,7249.99,None,75.31,Active
SCH-2026-1193,Gerald,Johnson,2020-01-19,Non-binary,Kindergarten,E,johnson.gerald@yahoo.com,3570.49,None,85.72,Active
SCH-2026-1194,Suzanne,Williams,2016-01-05,Male,Grade 5,A,williams.suzanne@hotmail.com,10982.39,Partial (25%),88.61,Active
SCH-2026-1195,Sandra,Brown,2008-04-30,Male,Grade 11,B,brown.sandra@gmail.com,11097.21,None,97.23,Active
SCH-2026-1196,Krystal,Diaz,2009-11-26,Female,Grade 11,A,diaz.krystal@yahoo.com,8018.29,None,97.24,Active
SCH-2026-1197,Kathryn,Jones,2020-06-29,Male,Kindergarten,B,jones.kathryn@yahoo.com,6452.93,Partial (25%),78.64,Active
SCH-2026-1198,David,Rodriguez,2007-11-08,Non-binary,Grade 12,E,rodriguez.david@yahoo.com,4523.55,None,95.27,Active
SCH-2026-1199,Andrew,Frederick,2018-02-14,Non-binary,Grade 2,D,frederick.andrew@hotmail.com,11856.76,None,95.56,Active
SCH-2026-1200,Dana,Davidson,2009-07-23,Non-binary,Grade 10,D,davidson.dana@yahoo.com,6540.54,None,89.56,Active
SCH-2026-1201,Timothy,Scott,2016-05-11,Female,Grade 3,E,scott.timothy@yahoo.com,11018.72,None,75.04,Active
SCH-2026-1202,Charles,White,2014-02-18,Non-binary,Grade 7,C,white.charles@yahoo.com,4891.78,None,75.64,Active
